age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
43,technician,single,secondary,no,-2273,no,no,telephone,1,may,248,3,-1,3,unknown,no
33,retired,married,primary,no,75,no,no,cellular,6,may,135,2,-1,2,unknown,no
38,unknown,married,primary,no,-2070,no,no,cellular,20,apr,336,3,-1,1,unknown,no
44,management,married,tertiary,no,-1956,yes,no,cellular,14,oct,169,4,-1,1,unknown,no
38,blue-collar,single,secondary,no,-3251,yes,yes,unknown,30,jul,824,1,-1,0,unknown,yes
42,admin.,single,secondary,no,-3070,no,no,cellular,24,mar,87,5,-1,1,unknown,no
42,services,married,tertiary,no,-1483,yes,yes,cellular,3,aug,409,5,-1,3,other,no
54,admin.,married,secondary,no,-3191,yes,no,unknown,12,nov,456,5,-1,0,unknown,yes
26,blue-collar,married,tertiary,no,430,yes,no,cellular,28,may,555,1,-1,0,unknown,yes
21,admin.,married,secondary,no,-2527,no,no,unknown,26,oct,17,4,-1,0,other,no
25,services,married,secondary,no,2465,yes,no,cellular,7,may,52,1,-1,0,unknown,no
41,entrepreneur,married,secondary,no,2503,yes,no,telephone,21,jul,242,1,-1,0,unknown,yes
41,services,married,secondary,no,772,no,no,cellular,20,oct,348,5,-1,1,unknown,no
46,admin.,married,primary,no,-1713,yes,no,unknown,14,oct,810,8,-1,0,success,yes
42,admin.,married,primary,no,1458,no,no,cellular,24,nov,259,9,354,0,unknown,no
27,retired,married,unknown,no,-2428,no,no,cellular,16,apr,422,2,511,0,unknown,yes
34,self-employed,divorced,secondary,no,1661,no,no,unknown,21,jul,53,5,-1,0,unknown,no
37,blue-collar,married,tertiary,no,329,no,no,telephone,9,jul,165,1,-1,0,success,yes
43,retired,single,secondary,no,-2415,yes,no,cellular,29,may,242,4,-1,0,unknown,yes
35,admin.,married,secondary,no,5011,yes,no,unknown,21,may,525,1,-1,0,failure,yes
45,entrepreneur,married,secondary,no,-4943,no,no,cellular,15,may,62,6,-1,1,failure,no
29,blue-collar,married,primary,no,2384,yes,no,cellular,14,aug,47,12,-1,0,unknown,no
34,entrepreneur,single,secondary,no,1309,no,no,unknown,12,sep,197,1,851,0,unknown,yes
50,unemployed,divorced,primary,no,2775,yes,no,cellular,16,may,53,2,-1,0,unknown,no
28,admin.,single,secondary,no,4379,no,no,unknown,22,jul,137,1,-1,0,unknown,no
47,entrepreneur,single,secondary,no,-1732,yes,no,cellular,10,may,289,1,-1,1,unknown,yes
36,entrepreneur,divorced,secondary,no,-6495,no,yes,telephone,26,may,108,5,-1,1,unknown,no
44,entrepreneur,married,tertiary,no,4471,no,yes,cellular,9,may,68,5,254,0,unknown,no
48,admin.,single,secondary,no,356,yes,yes,telephone,4,feb,409,1,-1,0,unknown,yes
47,blue-collar,married,primary,no,1755,no,no,unknown,4,nov,371,2,-1,0,unknown,yes
42,housemaid,single,secondary,no,-274,yes,no,cellular,21,jul,9,1,-1,1,unknown,no
39,blue-collar,married,secondary,yes,2570,no,no,telephone,28,jul,17,10,-1,0,unknown,no
45,blue-collar,married,tertiary,no,-797,yes,no,cellular,15,nov,76,1,-1,0,unknown,no
40,management,divorced,tertiary,no,1397,yes,no,cellular,9,nov,186,2,373,0,unknown,yes
36,unemployed,single,secondary,no,1212,yes,no,cellular,31,jul,546,1,-1,0,unknown,yes
45,unemployed,single,tertiary,no,5200,no,no,cellular,9,aug,1098,5,-1,0,unknown,yes
55,blue-collar,married,unknown,no,-400,no,no,unknown,7,aug,75,2,-1,0,failure,no
37,management,single,secondary,no,2635,no,no,cellular,8,aug,59,3,-1,0,unknown,no
26,entrepreneur,divorced,tertiary,no,-482,no,no,unknown,7,may,99,1,-1,0,unknown,no
26,technician,single,secondary,no,1127,yes,no,telephone,28,oct,8,1,143,0,unknown,no
47,housemaid,married,primary,yes,348,no,no,telephone,5,oct,316,2,-1,0,other,yes
34,admin.,married,secondary,no,-1336,no,no,cellular,20,aug,993,6,-1,0,failure,yes
28,blue-collar,married,secondary,no,3328,no,no,cellular,16,nov,664,4,158,0,unknown,yes
44,retired,single,tertiary,no,970,no,no,cellular,9,aug,196,3,-1,0,failure,yes
44,management,married,tertiary,no,2230,yes,no,cellular,10,jun,102,1,-1,0,unknown,no
36,technician,single,tertiary,no,3456,yes,no,cellular,19,jul,319,4,-1,0,unknown,yes
36,admin.,married,tertiary,no,244,yes,no,telephone,5,may,361,5,-1,0,unknown,yes
46,blue-collar,married,tertiary,no,-1167,no,no,cellular,2,apr,6,2,-1,0,unknown,no
42,management,married,tertiary,no,1636,yes,no,telephone,11,may,309,3,-1,0,unknown,yes
44,blue-collar,married,unknown,no,1993,yes,no,cellular,21,oct,263,5,-1,0,unknown,yes
36,retired,married,secondary,no,-1719,no,no,cellular,22,aug,5,10,370,0,success,no
44,blue-collar,divorced,tertiary,no,-799,no,no,cellular,18,oct,30,1,-1,0,failure,no
42,blue-collar,married,secondary,no,2478,no,yes,cellular,19,feb,203,3,-1,0,unknown,no
48,admin.,married,secondary,no,1174,no,no,cellular,1,nov,13,2,275,0,unknown,no
48,entrepreneur,single,secondary,no,-2428,yes,no,cellular,27,jul,307,1,317,0,unknown,yes
29,retired,married,tertiary,no,-3035,yes,no,cellular,14,jul,719,5,-1,0,unknown,yes
53,technician,married,secondary,no,-7087,yes,no,unknown,3,may,380,8,742,1,unknown,yes
33,self-employed,divorced,secondary,no,-452,yes,no,telephone,18,may,149,6,-1,0,unknown,no
42,blue-collar,single,primary,no,3318,yes,no,unknown,25,jun,297,11,-1,0,failure,yes
39,admin.,divorced,secondary,no,100,yes,no,unknown,18,aug,571,3,-1,1,unknown,yes
38,technician,single,secondary,no,2384,yes,yes,cellular,13,may,19,1,622,0,unknown,no
42,technician,single,tertiary,no,4438,yes,yes,cellular,31,apr,206,4,437,0,unknown,no
46,admin.,married,unknown,no,2301,yes,no,unknown,27,sep,66,4,-1,0,unknown,no
35,services,married,secondary,no,3826,no,yes,cellular,21,may,195,1,94,0,unknown,no
26,management,married,tertiary,no,-2792,yes,no,cellular,8,may,329,2,-1,0,unknown,yes
47,management,married,secondary,no,10019,no,no,unknown,28,jun,43,14,-1,0,unknown,no
37,blue-collar,married,secondary,no,171,no,no,cellular,19,oct,186,3,-1,0,unknown,yes
21,housemaid,single,primary,no,4330,yes,no,telephone,23,jul,281,7,-1,1,other,yes
55,admin.,married,secondary,no,-3732,yes,no,unknown,22,aug,651,1,-1,0,unknown,yes
23,student,married,tertiary,no,3259,no,no,unknown,10,aug,204,1,-1,0,unknown,no
24,blue-collar,married,secondary,no,5478,yes,no,cellular,25,may,20,6,-1,0,unknown,no
43,technician,married,secondary,no,2187,yes,yes,unknown,19,aug,156,1,377,0,unknown,no
41,unemployed,married,tertiary,no,1496,yes,no,cellular,20,aug,122,4,-1,0,unknown,no
43,admin.,married,secondary,no,5676,yes,no,unknown,12,may,88,3,639,0,unknown,no
63,management,married,primary,no,3175,no,no,cellular,7,aug,213,2,-1,1,unknown,no
43,management,married,secondary,no,-2170,no,yes,cellular,17,jul,147,15,-1,0,unknown,yes
46,technician,married,secondary,no,-3640,yes,no,cellular,11,dec,212,2,-1,0,unknown,yes
42,management,single,tertiary,no,-1609,yes,no,cellular,15,oct,494,2,-1,2,unknown,yes
37,entrepreneur,married,tertiary,no,942,yes,no,cellular,26,may,175,6,-1,0,unknown,yes
47,admin.,single,secondary,no,4134,no,no,telephone,25,oct,16,13,-1,0,unknown,no
46,self-employed,married,unknown,no,-1667,no,yes,unknown,10,sep,13,9,807,0,unknown,no
42,management,married,secondary,no,-871,yes,no,cellular,20,may,3,2,-1,0,unknown,no
39,technician,married,secondary,no,3665,yes,no,cellular,12,oct,144,2,-1,0,unknown,no
41,student,married,secondary,no,2072,yes,yes,cellular,6,may,64,2,-1,0,other,no
48,admin.,married,primary,no,2807,no,no,cellular,14,may,19,2,-1,0,other,no
42,blue-collar,single,unknown,no,-3489,no,no,cellular,30,may,53,6,-1,1,unknown,no
27,self-employed,married,secondary,no,2749,yes,no,cellular,10,oct,155,7,-1,0,unknown,no
39,admin.,single,tertiary,no,4730,no,no,cellular,14,may,128,2,-1,0,unknown,no
22,services,married,unknown,no,-1913,no,no,telephone,18,jul,47,2,-1,0,unknown,yes
49,unemployed,married,primary,no,4793,no,no,cellular,20,may,80,1,478,0,unknown,no
28,entrepreneur,married,secondary,no,2364,yes,no,cellular,23,may,23,1,-1,1,unknown,no
30,management,married,primary,no,910,yes,no,cellular,14,jan,246,4,-1,0,unknown,no
34,admin.,divorced,primary,no,-1488,yes,no,cellular,2,may,731,3,-1,0,unknown,yes
50,admin.,single,secondary,yes,2173,no,yes,cellular,18,feb,367,1,311,0,unknown,yes
25,services,married,secondary,no,-769,yes,no,cellular,31,nov,725,2,-1,0,success,yes
45,technician,married,tertiary,no,-1703,yes,no,cellular,10,may,463,3,-1,0,unknown,yes
40,unemployed,single,secondary,no,1479,yes,no,cellular,19,apr,522,2,-1,0,unknown,yes
20,technician,married,secondary,no,-190,yes,yes,cellular,4,apr,411,3,490,0,unknown,yes
27,admin.,married,secondary,no,3708,no,yes,cellular,9,jun,439,6,-1,0,success,yes
42,blue-collar,married,secondary,no,-1290,no,no,unknown,27,may,206,2,379,0,unknown,yes
46,management,married,secondary,no,-1960,no,no,cellular,16,aug,210,2,-1,0,unknown,yes
57,technician,divorced,tertiary,no,121,no,no,cellular,10,may,0,4,-1,0,failure,no
39,management,single,primary,no,-1148,yes,no,cellular,28,may,702,9,-1,0,unknown,yes
46,blue-collar,married,secondary,no,-1328,no,no,cellular,23,jul,350,2,-1,0,unknown,no
29,technician,single,secondary,no,1345,no,no,cellular,27,dec,505,1,-1,0,unknown,yes
45,technician,married,primary,no,-5258,yes,no,telephone,25,jul,288,2,-1,0,unknown,no
59,blue-collar,married,secondary,no,4277,yes,no,unknown,20,jul,1401,4,-1,0,unknown,yes
27,admin.,single,tertiary,no,2791,yes,no,unknown,30,aug,9,3,-1,0,unknown,no
41,technician,married,secondary,no,-155,yes,no,unknown,23,sep,358,4,-1,0,unknown,yes
40,technician,married,tertiary,no,-420,yes,no,cellular,30,nov,528,3,69,0,unknown,yes
35,admin.,married,secondary,no,2703,no,no,cellular,17,may,160,7,-1,0,unknown,yes
35,management,married,primary,no,-777,no,no,cellular,13,dec,528,6,-1,0,unknown,yes
49,unemployed,married,primary,no,-1479,yes,no,cellular,29,may,336,2,-1,0,unknown,yes
30,unemployed,married,secondary,no,-2057,yes,no,telephone,11,feb,2,4,-1,0,unknown,yes
43,services,single,secondary,no,4197,yes,no,cellular,1,may,107,3,-1,0,unknown,no
33,management,married,secondary,no,1061,no,no,cellular,14,may,36,2,-1,0,unknown,yes
40,management,married,secondary,no,2681,yes,no,telephone,18,aug,227,4,-1,0,unknown,no
25,services,married,secondary,no,-4645,no,no,cellular,28,nov,305,5,-1,0,unknown,yes
41,blue-collar,married,secondary,no,-373,no,no,telephone,23,dec,88,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,117,yes,no,unknown,20,may,141,3,-1,0,other,yes
40,entrepreneur,single,tertiary,no,1741,no,no,cellular,26,may,1030,1,-1,0,unknown,yes
46,blue-collar,single,tertiary,yes,-1801,no,no,cellular,19,nov,29,5,-1,0,unknown,yes
29,blue-collar,married,secondary,no,-2005,yes,yes,cellular,13,jun,1,2,369,0,unknown,no
27,admin.,married,tertiary,no,576,no,no,cellular,25,may,215,2,-1,0,unknown,yes
50,retired,married,tertiary,no,1482,yes,no,cellular,6,may,127,4,-1,0,unknown,no
49,housemaid,single,tertiary,no,1399,yes,no,cellular,23,may,285,9,-1,0,unknown,yes
38,technician,married,primary,no,-1583,no,no,cellular,9,jul,102,3,741,0,unknown,no
32,self-employed,married,primary,no,4424,yes,no,unknown,14,dec,655,3,596,0,unknown,yes
38,services,married,secondary,no,3471,yes,no,unknown,10,jan,81,1,-1,0,unknown,no
37,entrepreneur,single,tertiary,no,1326,yes,yes,telephone,14,aug,539,1,-1,0,unknown,yes
48,blue-collar,divorced,secondary,no,2967,yes,no,telephone,21,may,508,1,-1,0,unknown,yes
39,services,single,tertiary,no,1321,no,no,cellular,27,oct,312,1,-1,1,failure,yes
35,admin.,single,tertiary,no,-544,yes,no,unknown,11,aug,459,1,505,1,unknown,yes
39,services,married,secondary,no,1487,yes,no,unknown,31,jun,25,1,-1,0,unknown,no
38,unemployed,married,secondary,no,-4572,no,no,telephone,2,jul,321,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,313,no,no,telephone,2,nov,397,2,-1,0,unknown,yes
36,services,divorced,secondary,no,-2008,no,yes,cellular,19,aug,388,1,-1,0,unknown,yes
23,technician,married,unknown,no,36,no,no,cellular,29,nov,72,5,-1,0,unknown,no
50,services,divorced,secondary,no,5085,yes,no,cellular,9,sep,65,4,-1,0,unknown,no
45,blue-collar,married,secondary,no,-3811,yes,no,cellular,3,may,687,1,-1,0,unknown,yes
37,entrepreneur,divorced,primary,no,1592,yes,yes,cellular,13,may,69,4,-1,0,unknown,no
47,blue-collar,single,tertiary,no,-4351,no,no,cellular,30,aug,585,2,858,1,unknown,yes
37,technician,married,secondary,no,2774,yes,no,cellular,6,may,63,1,-1,0,unknown,no
51,admin.,single,secondary,no,-4494,no,no,unknown,17,oct,41,2,-1,0,unknown,yes
36,technician,married,secondary,no,4163,no,no,unknown,20,dec,351,2,-1,0,unknown,yes
48,student,married,secondary,no,-1819,yes,no,cellular,14,may,269,2,-1,0,failure,yes
36,blue-collar,divorced,secondary,no,1769,yes,no,unknown,13,aug,428,1,85,0,unknown,yes
59,management,married,tertiary,no,4415,yes,no,unknown,6,aug,35,1,-1,1,unknown,no
38,admin.,single,secondary,no,7268,yes,no,unknown,23,jul,11,4,-1,0,failure,no
45,student,divorced,secondary,no,3444,no,no,cellular,24,sep,414,1,-1,0,other,yes
36,self-employed,single,secondary,no,-695,yes,no,unknown,16,jun,172,9,-1,0,unknown,no
41,technician,married,tertiary,no,-2921,no,no,cellular,19,aug,23,6,-1,1,unknown,no
29,technician,single,tertiary,no,3530,yes,no,unknown,5,sep,1,10,-1,0,unknown,no
45,retired,single,tertiary,no,609,yes,no,cellular,14,aug,159,2,-1,0,failure,no
52,technician,single,secondary,no,1355,yes,yes,unknown,25,jul,99,3,-1,0,unknown,no
48,blue-collar,married,tertiary,no,-2346,yes,no,cellular,8,jun,93,2,-1,0,unknown,yes
43,technician,married,tertiary,no,4020,no,yes,unknown,12,may,23,1,-1,0,unknown,no
40,retired,single,primary,no,-2549,yes,no,unknown,4,aug,78,1,-1,1,unknown,no
48,blue-collar,divorced,secondary,no,9497,no,no,cellular,27,dec,1,6,-1,0,unknown,no
42,blue-collar,married,secondary,no,-1557,no,no,cellular,20,aug,249,1,-1,0,success,no
38,services,single,tertiary,no,2448,no,no,cellular,7,dec,673,3,-1,1,unknown,yes
31,retired,single,secondary,no,-296,yes,no,cellular,4,may,48,2,-1,1,unknown,no
37,services,married,secondary,no,1924,yes,no,cellular,13,oct,22,1,-1,0,failure,no
45,blue-collar,single,secondary,no,813,yes,no,telephone,23,may,127,1,337,0,unknown,no
29,management,single,secondary,no,-1146,yes,no,cellular,21,jun,150,3,-1,0,unknown,no
24,blue-collar,married,secondary,no,311,yes,no,unknown,31,may,121,4,-1,0,unknown,no
51,technician,married,secondary,no,647,yes,no,cellular,29,jul,352,4,647,1,unknown,yes
35,retired,married,secondary,no,4679,no,no,cellular,15,may,135,1,-1,1,unknown,yes
37,self-employed,single,secondary,no,5315,no,no,unknown,23,may,136,13,-1,1,unknown,no
33,entrepreneur,married,secondary,no,-459,no,no,unknown,13,may,94,1,475,1,unknown,yes
44,management,married,tertiary,no,3671,yes,no,telephone,3,aug,423,12,-1,0,unknown,yes
49,management,married,secondary,yes,1069,no,no,cellular,28,aug,172,9,-1,0,unknown,no
42,admin.,single,primary,no,8444,yes,no,unknown,12,jun,243,4,-1,0,unknown,yes
51,entrepreneur,single,primary,no,268,yes,yes,cellular,29,dec,462,2,-1,1,other,yes
33,student,married,tertiary,no,4089,no,no,telephone,15,may,995,2,-1,0,unknown,yes
47,blue-collar,married,secondary,no,2851,yes,yes,unknown,21,may,340,12,-1,1,other,yes
54,admin.,married,secondary,no,-3765,no,no,telephone,8,apr,860,1,-1,0,unknown,yes
58,unknown,married,secondary,no,4360,no,no,unknown,25,dec,190,1,-1,0,unknown,yes
49,technician,single,secondary,no,-2897,yes,no,unknown,29,may,568,1,-1,2,unknown,yes
51,technician,married,secondary,no,1861,no,no,cellular,1,dec,485,2,-1,1,unknown,yes
43,blue-collar,single,tertiary,no,2398,yes,no,telephone,12,jun,103,1,-1,0,unknown,yes
26,technician,divorced,tertiary,no,4977,no,no,cellular,22,may,448,2,-1,0,unknown,yes
43,management,single,primary,no,-904,no,no,telephone,19,may,37,2,127,0,unknown,yes
46,technician,married,secondary,yes,5592,no,no,cellular,12,oct,35,2,-1,0,unknown,no
37,technician,single,secondary,no,4736,yes,no,cellular,24,aug,368,6,123,0,unknown,yes
35,unknown,divorced,tertiary,no,-2400,yes,yes,cellular,2,may,284,3,-1,0,unknown,yes
42,blue-collar,married,secondary,no,3164,yes,no,telephone,22,may,697,2,-1,0,unknown,yes
48,admin.,married,secondary,no,668,yes,no,cellular,4,mar,263,5,-1,0,failure,no
19,entrepreneur,married,tertiary,no,2199,yes,no,unknown,21,nov,158,2,-1,1,unknown,no
37,blue-collar,single,secondary,no,4470,yes,no,cellular,28,nov,177,2,-1,2,unknown,no
48,blue-collar,single,tertiary,no,-5400,yes,yes,cellular,26,jul,293,7,-1,0,unknown,yes
22,blue-collar,married,secondary,no,3417,yes,no,cellular,19,oct,61,1,-1,1,unknown,no
39,technician,divorced,secondary,no,-4086,yes,no,cellular,26,dec,598,5,-1,0,unknown,yes
37,blue-collar,married,secondary,no,-339,no,no,unknown,28,feb,310,3,-1,0,unknown,yes
32,retired,married,tertiary,no,2011,yes,no,cellular,25,jul,60,1,-1,0,unknown,no
42,technician,married,unknown,no,-1589,yes,no,telephone,30,aug,98,2,-1,0,failure,no
24,blue-collar,single,tertiary,no,1418,yes,no,telephone,22,nov,31,4,-1,0,failure,no
25,services,married,secondary,no,-3816,no,no,cellular,12,nov,135,1,-1,0,other,no
27,admin.,married,tertiary,no,5316,yes,no,cellular,17,jul,922,6,-1,0,unknown,yes
38,services,married,tertiary,no,-916,no,no,cellular,20,may,675,6,-1,0,success,yes
38,technician,married,primary,no,1565,yes,no,cellular,13,jul,604,1,-1,0,unknown,yes
37,admin.,single,secondary,no,-2404,yes,no,unknown,11,dec,261,1,-1,0,unknown,yes
42,services,married,tertiary,no,443,yes,yes,cellular,12,dec,303,1,-1,0,unknown,yes
26,technician,married,primary,no,-2746,yes,no,cellular,29,may,50,1,350,0,success,no
37,admin.,married,tertiary,no,3043,yes,no,cellular,13,jan,443,2,-1,1,unknown,no
68,admin.,married,secondary,no,1403,yes,no,unknown,2,sep,135,3,-1,1,unknown,yes
49,technician,married,secondary,no,6535,yes,no,cellular,6,aug,742,6,-1,0,other,yes
23,entrepreneur,married,secondary,no,4594,no,no,cellular,9,oct,197,3,-1,0,unknown,yes
55,management,single,tertiary,no,8524,no,no,telephone,2,apr,167,3,-1,0,unknown,yes
31,services,married,secondary,no,-142,yes,no,cellular,17,jul,50,1,58,0,unknown,no
38,admin.,married,secondary,no,-2057,no,no,cellular,15,may,192,1,396,0,unknown,no
47,admin.,single,secondary,no,5184,no,no,cellular,31,dec,176,2,-1,1,unknown,yes
36,housemaid,single,primary,no,2932,no,no,cellular,19,jan,25,2,-1,0,failure,no
36,management,single,unknown,no,2197,no,no,cellular,6,jul,63,3,-1,0,other,no
52,blue-collar,married,secondary,no,1080,yes,no,cellular,7,may,58,5,-1,0,unknown,yes
47,unemployed,single,tertiary,no,2132,yes,no,unknown,12,jul,28,4,-1,0,unknown,no
40,student,single,secondary,no,1472,no,no,unknown,10,apr,54,2,-1,2,unknown,yes
22,blue-collar,single,secondary,no,3369,yes,yes,unknown,8,may,254,2,187,0,unknown,no
39,management,married,secondary,no,1639,no,no,cellular,22,mar,80,7,-1,1,unknown,no
44,admin.,married,primary,no,1372,no,no,cellular,13,jun,71,1,-1,0,unknown,no
53,technician,married,primary,no,4890,yes,no,cellular,7,may,124,1,-1,0,unknown,yes
41,services,single,primary,no,3778,yes,no,cellular,15,jul,743,2,-1,0,failure,yes
43,blue-collar,married,tertiary,no,2688,no,no,unknown,15,aug,1084,3,-1,0,unknown,yes
30,admin.,single,tertiary,no,1198,no,no,cellular,13,aug,152,9,-1,0,unknown,yes
53,services,married,secondary,no,1145,yes,no,cellular,21,nov,73,1,-1,0,other,no
44,services,married,secondary,no,765,yes,yes,unknown,2,aug,491,3,-1,0,failure,yes
39,admin.,married,secondary,yes,6396,yes,no,cellular,18,aug,239,6,812,1,unknown,yes
44,management,married,tertiary,no,5131,no,no,unknown,6,jul,74,3,-1,1,unknown,yes
40,technician,single,tertiary,no,2466,yes,no,cellular,31,may,374,1,-1,0,unknown,no
41,technician,divorced,secondary,no,386,no,yes,unknown,25,apr,343,6,-1,0,unknown,yes
34,unemployed,married,secondary,no,1291,no,no,telephone,21,feb,89,1,-1,1,unknown,no
41,services,married,secondary,no,727,no,no,unknown,15,oct,87,2,-1,0,failure,no
49,technician,married,unknown,no,3250,no,yes,unknown,24,may,64,3,522,0,unknown,no
52,admin.,married,primary,no,3051,yes,yes,cellular,15,feb,239,1,-1,0,unknown,yes
40,admin.,married,secondary,no,6198,no,yes,cellular,9,nov,182,2,-1,1,unknown,no
55,services,married,secondary,no,2343,yes,no,cellular,30,may,293,1,667,1,unknown,no
44,services,divorced,secondary,no,-912,yes,no,cellular,3,apr,229,8,-1,0,unknown,no
32,admin.,married,secondary,no,2991,yes,no,unknown,30,aug,518,4,-1,1,unknown,yes
43,management,married,tertiary,no,4194,no,no,cellular,12,oct,169,1,-1,0,unknown,yes
44,blue-collar,single,tertiary,no,1301,yes,no,cellular,18,may,499,1,861,0,unknown,no
57,unknown,married,secondary,no,-1990,yes,yes,cellular,27,jul,529,3,-1,1,unknown,yes
57,management,married,primary,no,2493,no,yes,unknown,29,oct,2770,1,-1,0,unknown,yes
36,services,single,secondary,no,466,yes,no,unknown,25,nov,127,1,-1,0,unknown,no
25,services,married,secondary,no,2338,no,no,unknown,11,dec,1036,1,138,0,other,yes
27,retired,single,primary,no,4857,no,no,telephone,6,aug,114,3,-1,0,failure,no
42,services,divorced,primary,no,-1498,no,yes,telephone,10,jul,291,1,-1,0,failure,yes
61,management,single,secondary,no,-75,yes,no,cellular,3,aug,409,7,-1,0,unknown,yes
41,retired,single,secondary,no,-2827,yes,no,unknown,15,may,11,2,-1,1,unknown,no
25,blue-collar,married,secondary,no,488,yes,yes,cellular,19,dec,288,1,774,0,unknown,yes
45,blue-collar,married,secondary,no,-2266,yes,yes,cellular,13,jul,712,4,-1,0,unknown,yes
47,management,married,secondary,no,8917,no,no,cellular,21,may,324,3,-1,0,unknown,yes
35,management,single,tertiary,no,3665,yes,no,cellular,24,oct,120,3,-1,0,unknown,no
41,blue-collar,married,tertiary,no,6040,no,yes,cellular,19,jul,559,1,-1,0,unknown,yes
41,entrepreneur,single,secondary,no,13,yes,yes,unknown,1,feb,52,1,155,0,unknown,no
18,self-employed,divorced,tertiary,no,3309,yes,no,cellular,14,may,7,1,-1,0,failure,no
44,retired,married,secondary,no,-660,no,no,unknown,28,sep,284,1,220,0,unknown,yes
38,blue-collar,married,primary,no,1774,yes,no,cellular,8,may,136,1,-1,0,unknown,no
41,management,single,tertiary,no,-4441,no,no,unknown,18,sep,146,2,-1,0,unknown,no
38,blue-collar,married,primary,no,318,no,no,cellular,29,oct,60,5,201,0,unknown,yes
31,blue-collar,married,secondary,no,-136,yes,yes,unknown,2,jul,780,1,-1,0,unknown,yes
48,entrepreneur,single,tertiary,no,3168,no,no,cellular,22,aug,631,4,-1,0,unknown,yes
39,self-employed,single,tertiary,no,5353,yes,no,cellular,12,jul,92,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,-2500,yes,no,cellular,4,may,148,4,-1,0,success,no
45,technician,married,tertiary,no,-730,yes,no,cellular,8,jul,320,7,-1,0,failure,yes
37,retired,divorced,unknown,no,516,yes,no,cellular,15,nov,126,1,-1,0,unknown,yes
31,self-employed,divorced,secondary,yes,6951,no,no,telephone,2,feb,73,3,45,1,unknown,no
40,technician,married,tertiary,no,4160,yes,no,cellular,25,may,151,1,-1,0,success,no
40,blue-collar,married,primary,no,-732,yes,no,unknown,26,jul,177,1,-1,0,unknown,yes
44,technician,single,tertiary,no,10113,yes,no,unknown,26,may,464,3,-1,0,unknown,yes
33,blue-collar,married,primary,no,-299,yes,yes,cellular,18,feb,113,2,-1,0,unknown,no
41,services,married,secondary,no,1728,no,no,cellular,17,jul,38,1,-1,1,unknown,no
26,self-employed,married,secondary,no,179,yes,no,cellular,22,nov,582,2,-1,0,unknown,yes
44,technician,married,secondary,no,-719,yes,no,telephone,12,dec,130,15,-1,0,unknown,no
20,blue-collar,married,tertiary,no,4231,yes,no,cellular,6,may,822,3,-1,0,failure,yes
39,management,married,secondary,no,5302,no,yes,telephone,28,may,108,1,-1,0,failure,no
42,admin.,single,secondary,no,-198,no,no,cellular,15,may,148,4,-1,0,unknown,yes
28,retired,married,secondary,no,-828,no,no,cellular,20,nov,37,1,-1,0,failure,no
18,management,married,secondary,no,3316,yes,no,cellular,27,jul,111,1,-1,0,failure,no
52,entrepreneur,divorced,tertiary,no,4170,yes,no,cellular,1,may,118,1,-1,0,unknown,yes
22,technician,married,secondary,no,71,no,no,cellular,6,jul,63,5,-1,0,unknown,no
27,technician,single,secondary,no,-2047,no,no,cellular,26,aug,36,8,-1,0,unknown,no
25,services,married,secondary,no,-177,yes,no,cellular,3,may,216,2,-1,0,unknown,no
54,technician,married,unknown,no,4807,yes,no,cellular,5,dec,82,2,-1,0,unknown,no
40,blue-collar,married,tertiary,no,648,no,no,cellular,22,aug,87,2,-1,1,unknown,yes
49,blue-collar,married,secondary,no,2973,yes,no,unknown,10,feb,15,5,-1,0,unknown,no
36,blue-collar,divorced,tertiary,no,3339,no,yes,unknown,21,sep,137,2,49,1,unknown,yes
28,technician,single,tertiary,no,8325,yes,no,unknown,12,jul,613,1,-1,2,success,yes
45,blue-collar,single,tertiary,no,4177,yes,no,unknown,24,aug,431,4,-1,0,failure,yes
41,services,divorced,secondary,no,5468,no,no,cellular,23,feb,245,1,-1,0,unknown,yes
36,management,single,primary,no,-755,yes,no,cellular,3,may,18,2,-1,0,unknown,no
31,management,married,primary,no,-341,no,no,telephone,1,may,58,1,-1,0,unknown,no
45,services,married,secondary,no,2344,no,no,cellular,9,may,204,2,-1,0,unknown,no
40,admin.,married,secondary,no,1423,no,no,cellular,25,jul,523,1,-1,0,unknown,yes
44,technician,married,secondary,no,738,no,no,unknown,7,jul,139,3,-1,0,other,yes
38,technician,married,secondary,no,2325,yes,no,cellular,17,aug,321,1,-1,0,unknown,no
37,management,married,secondary,no,3121,no,no,unknown,6,may,96,3,-1,0,unknown,no
25,management,divorced,tertiary,no,4073,yes,no,cellular,3,jul,7,11,-1,0,failure,no
24,blue-collar,married,secondary,no,-5435,no,no,cellular,27,may,438,2,360,0,other,yes
36,blue-collar,single,secondary,no,6094,yes,no,cellular,4,sep,59,8,-1,1,unknown,no
48,technician,single,secondary,no,-156,no,no,cellular,11,may,149,3,-1,0,unknown,yes
39,management,married,secondary,no,-1349,yes,yes,cellular,25,aug,465,2,-1,0,unknown,yes
25,blue-collar,single,secondary,no,64,yes,no,cellular,27,aug,150,10,-1,0,unknown,no
64,blue-collar,single,secondary,no,3809,yes,no,unknown,17,jul,175,2,-1,0,failure,no
